"eez","lost.yield_total.tons.day","lost.yield_mean.kg.km2.day","lost.yield_se.mean","population","children","calcium_pdv.100g","iron_pdv.100g","omega3_pdv.100g","selenium_pdv.100g","vitamina_pdv.100g","zinc_pdv.100g","lost.calcium_dri.day","lost.calcium_dri.child.day","lost.calcium_mean.dri.km2.day","lost.calcium_se.dri","lost.iron_dri.day","lost.iron_dri.child.day","lost.iron_mean.dri.km2.day","lost.iron_se.dri","lost.omega3_dri.day","lost.omega3_dri.child.day","lost.omega3_mean.dri.km2.day","lost.omega3_se.dri","lost.selenium_dri.day","lost.selenium_dri.child.day","lost.selenium_mean.dri.km2.day","lost.selenium_se.dri","lost.vitamina_dri.day","lost.vitamina_dri.child.day","lost.vitamina_mean.dri.km2.day","lost.vitamina_se.dri","lost.zinc_dri.day","lost.zinc_dri.child.day","lost.zinc_mean.dri.km2.day","lost.zinc_se.dri","nutrient.density_coef","lost.dri_km2.day","lost.dri_se"
"comoros",0.762230909059502,0.582115574997122,0.0735963980494043,836770,114563,0.122601486404716,0.366124283522377,0.663775646129864,4.22909561957333,0.105600852165792,0.324465892640459,934.506424343131,0.00815713995219339,0.713682347539833,0.0902302779489013,2790.71245458021,0.0243596314218396,2.13126647823038,0.269454285056658,5059.50314161125,0.0441635007952938,3.86394141915972,0.48851496668074,32235.4739860694,0.281377704722025,24.6182242830574,3.11246204607111,804.922335437899,0.00702602354545446,0.614719007786762,0.0777184235034994,2473.1793230614,0.0215879413341253,1.88876649661355,0.238795209882225,0.430428026810535,2.50558858321691,0.316779523927678
"kenya",6.77107607313734,2.96200427065105,0.1028555012966,54027490,7035351,0.0851782885775139,0.169082487133741,0.470502637941117,2.16937170204345,0.130410311594197,0.405120658670891,5767.48671737992,0.000819786634295847,2.52298454533344,0.0876105557122667,11448.7038301783,0.00162731096574688,5.00823048982444,0.173910639746169,31858.091541111,0.00452828743599445,13.9363082293417,0.483937846868064,146889.808254476,0.0208788173119545,64.2568824608224,2.23131813912338,8830.18140525852,0.00125511597150711,3.86275899878946,0.13413417973267,27431.0279866011,0.00389902763722821,11.9996912111215,0.416688884332034,0.37671573065291,11.1583360301535,0.387472853226201
"madagascar",19.1252542675896,1.46338922150001,0.0462487339966151,29611710,4274390,0.110744444345447,0.178652288142813,0.498037274096853,2.40790416737999,0.180390226362037,0.412400741513759,21180.156568296,0.00495512963681274,1.62062226196135,0.0512179034813553,34167.7043621799,0.0079935860701012,2.61437832864506,0.0826244215220359,95250.8950183954,0.0222840908336383,7.2882237881858,0.230335934101046,460517.794531311,0.107738833969598,35.2370100494884,1.11362519326498,34500.08946562,0.00807134806735464,2.63981112922151,0.0834281959460702,78872.6904159315,0.0184523851159888,6.03502800069847,0.190730121942767,0.396704162410151,5.80532595395205,0.183470652826571
"maldives",2.82104241727783,0.148495415332044,0.0115754919369729,523790,36264,0.14609446888208,0.320559009416517,0.658652031046559,4.41546500196077,0.107606879745365,0.38479510628875,4121.38693646022,0.113649540493609,0.216943588343588,0.0169111534658085,9043.10562804557,0.24936867494059,0.476015432417344,0.0371062822882491,18580.8531780853,0.512377376408707,0.978068069095533,0.0762422127465026,124562.14062537,3.43487041212692,6.5567630935027,0.511111795281829,3035.63572152589,0.0837093459498646,0.159791283003733,0.0124560256885528,10855.2331680149,0.299339101257857,0.57140309126086,0.0445419265023205,0.436284582563212,0.647862602906917,0.0505020866768604
"mauritius",3.45459797859443,1.83073521541997,0.105165340325713,1262520,65784,0.0809364828696472,0.177909906746355,0.377478943242861,2.0053279331208,0.150978123309435,0.513732487855745,2796.03010116026,0.0425031938033604,1.48173269401698,0.0851171276575268,6146.0720421788,0.0934280682563967,3.25705931452634,0.187099558902962,13040.3799428875,0.198230267890178,6.91063994474222,0.396977015319259,69276.0182417807,1.05308309378847,36.7122446562959,2.10890994551308,5215.68719596757,0.0792850418941926,2.76400967100602,0.158776657195742,17747.3921408474,0.269782806470379,9.40508156822824,0.540268519217246,0.383505990670674,7.02097922445325,0.403315380258311
"mayotte",0.565941402374884,0.3530817673168,0.0387008750928856,310022,53670,0.110797264389914,0.225576611833701,0.536494131797259,3.2344176448677,0.166298173210505,0.361273130593902,627.04759188129,0.01168339094245,0.391204939246578,0.042879510897875,1276.63144044139,0.0237866860525693,0.796469887715789,0.0873001227845238,3036.24241315237,0.0565724317710521,1.89426296210069,0.207627923827518,18304.908578025,0.341064068903018,11.4201389829053,1.2517479327225,941.150213591344,0.0175358713171482,0.587168528987203,0.0643588482959479,2044.59422168678,0.0380956627852949,1.27558955434168,0.139815863015303,0.400073218637547,1.41258559092666,0.154831836625004
"mozambique",13.7331279161493,1.94941867508605,0.0495277253915461,32969520,5468527,0.186543147474712,0.221646799918816,0.532211595722733,2.72034970341426,0.127882909121999,0.469796556057509,25618.2090615132,0.00468466354129973,3.63650695396535,0.0923905778180222,30439.0385549024,0.00556622259612185,4.32082411034801,0.109776618402941,73089.2992251822,0.0133654454344254,10.3750322379924,0.263592297631521,373589.104536468,0.0683162219984409,53.0310051460056,1.34732733079675,17562.3234926171,0.00321152725269841,2.49297331266757,0.0633374960526642,64517.7619890417,0.0117980147101846,9.15830179869618,0.232679548183104,0.423013501382628,8.24630419408834,0.209508965333952
"reunion",0.496570922341759,3.25704823660274,0.24516451190003,873102,70263,0.090820847987824,0.303736413471038,0.634336956765407,2.50982987271557,0.0307200054330957,0.21334508499844,450.989922531744,0.00641859759093327,2.95807882785508,0.222660488672817,1508.26670986091,0.0214660163935629,9.89284149887884,0.744653895548925,3149.93287696462,0.0448306061079747,20.6606606644472,1.55516910385541,12463.0853481527,0.177377643256802,81.7463696110113,6.15321215696426,152.546614322562,0.00217108028866632,1.00056539524291,0.0753145513757116,1059.40965634756,0.0150777743100574,6.9487523288203,0.523046436299128,0.378826551442634,12.3385635135453,0.928748265792048
"seychelles",3.77956795738985,0.895087258319813,0.0612823119830474,100060,8203,0.0744891205296274,0.170497761427936,0.386464603561847,1.73320807780011,0.169827302493626,0.311121976238503,2815.3669312793,0.343211865327234,0.666742626695183,0.0456486552363944,6444.07875899726,0.785575857490827,1.52610373826197,0.104484970082379,14606.6923228773,1.7806524835886,3.45919542439827,0.236834444058818,65507.7771434257,7.98583166444297,15.5137246645586,1.06214998155284,6418.73830794863,0.782486688766138,1.52010254576869,0.104074097346538,11759.0665223085,1.43350804855645,2.78481316714363,0.190662740126302,0.352066794041923,3.15130501424431,0.215754671113484
"tanzania",19.0531822098235,2.03604472447471,0.0500721906121134,65497750,10976141,0.125580104097941,0.164933511735159,0.39458101131312,2.30854330169621,0.118107017154382,0.335496182507172,23927.0060530668,0.00217991059454017,2.55686708447598,0.0628807090948116,31425.0825159604,0.0028630356075018,3.35812006457457,0.0825858223792811,75180.2390508529,0.00684942358619964,8.03384586461973,0.19757535610391,439850.961664854,0.0400733702004059,47.0029741063999,1.1559382023885,22503.1451810118,0.00205018732731402,2.40471169200623,0.0591387707558235,63922.6989600932,0.00582378624327924,6.8308523247513,0.167990288001355,0.356449637801296,7.25747404586248,0.178482142076052
