"","valid_name","rank","kingdom","phylum","class","order","family","genus","ratio"
"1","Carcharhinus leucas","Species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus",0.0207359241661334
"2","Carcharhinus limbatus","Species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus",0.0400000030133739
"3","Carcharhinus melanopterus","Species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus",0.012045731030371
"4","Sphyrna lewini","Species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna",0.00558005312145586
"5","Carcharhinus falciformis","Species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus",0.0275087147941897
"6","Carcharhinus macloti","Species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus",0.00285815856208098
"7","Carcharhinus sealei","Species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus",0.00145081666601197
"8","Rhina ancylostomus","Species","Animalia","Chordata","Elasmobranchii","Rhinopristiformes","Rhinobatidae","Rhina",0.000153090678934894
"9","Rhinobatos holcorhynchus","Species","Animalia","Chordata","Elasmobranchii","Rhinopristiformes","Rhinobatidae","Rhinobatos",0.000834953938003772
"10","Rhynchobatus djiddensis","Species","Animalia","Chordata","Elasmobranchii","Rhinopristiformes","Rhinobatidae","Rhynchobatus",0.00202124542768985
"11","Sphyrna mokarran","Species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna",0.0011121739234707
"12","Squalus megalops","Species","Animalia","Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus",0.000126444408688883
"13","Squatina africana","Species","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina",0.00384224634993238
"14","Triaenodon obesus","Species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Triaenodon",0.000707026097447057
"15","Maculabatis gerrardi","Species","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Maculabatis",6.70331880096569e-05
"16","Taeniura lymma","Species","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Taeniura",0.00139513907906939
"17","Himantura uarnak","Species","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura",0.00138460976418641
"18","Cynoglossus lachneri","Species","Animalia","Chordata","Teleostei","Pleuronectiformes","Cynoglossidae","Cynoglossus",0.000606817957218319
"19","Cynoglossus lida","Species","Animalia","Chordata","Teleostei","Pleuronectiformes","Cynoglossidae","Cynoglossus",0.00172805898774504
"20","Psettodes erumei","Species","Animalia","Chordata","Teleostei","Pleuronectiformes","Psettodidae","Psettodes",0.00209141347867246
"21","Bothus myriaster","Species","Animalia","Chordata","Teleostei","Pleuronectiformes","Bothidae","Bothus",4.67629618071522e-06
