"","valid_name","rank","kingdom","phylum","class","order","family","genus","ratio"
"1","Elasmobranchii","Class","Animalia","Chordata","Elasmobranchii",NA,NA,NA,0.041998113765764
"2","Sardinella albella","Species","Animalia","Chordata","Teleostei","Clupeiformes","Dorosomatidae","Sardinella",0.0234115234427648
"3","Herklotsichthys quadrimaculatus","Species","Animalia","Chordata","Teleostei","Clupeiformes","Dorosomatidae","Herklotsichthys",0.0611514958189414
"4","Stolephorus commersonnii","Species","Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Stolephorus",0.00134325513269158
"5","Amblygaster sirm","Species","Animalia","Chordata","Teleostei","Clupeiformes","Dorosomatidae","Amblygaster",0.19088524756243
"6","Ariidae","Family","Animalia","Chordata","Teleostei","Siluriformes","Ariidae",NA,0.0109364488212191
"7","Caesio teres","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Caesionidae","Caesio",0.00827638091296872
"8","Caesio caerulaurea","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Caesionidae","Caesio",0.00309784833686106
"9","Caesio varilineata","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Caesionidae","Caesio",0.000475778447503219
"10","Pterocaesio marri","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Caesionidae","Pterocaesio",9.4457699404392e-05
"11","Caesio lunaris","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Caesionidae","Caesio",0.000995981112941031
"12","Caesio xanthonota","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Caesionidae","Caesio",0.00215898857221768
"13","Pterocaesio tile","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Caesionidae","Pterocaesio",0.00186124940014134
"14","Carangoides ferdau","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Carangoides",0.0061707573402996
"15","Caranx ignobilis","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Caranx",0.00890720652552576
"16","Caranx sexfasciatus","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Caranx",0.0134697920246506
"17","Decapterus russelli","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Decapterus",0.0381755772045227
"18","Megalaspis cordyla","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Megalaspis",0.00585448011534268
"19","Caranx heberi","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Caranx",0.00456911625960763
"20","Decapterus macarellus","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Decapterus",0.00227918020719241
"21","Decapterus tabl","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Decapterus",0.00189547048471302
"22","Alepes djedaba","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Alepes",0.000203881719693503
"23","Carangoides malabaricus","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Carangoides",0.00417569618199365
"24","Carangoides chrysophrys","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Carangoides",8.49382840799113e-05
"25","Caranx papuensis","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Caranx",0.00183942141708539
"26","Atule mate","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Atule",0.000224201379729822
"27","Carangoides dinema","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Carangoides",8.09714540976592e-05
"28","Decapterus kurroides","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Decapterus",0.00444450975747196
"29","Scomberoides tol","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Scomberoides",0.000297532822274083
"30","Trachurus trachurus","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Trachurus",8.42286587678077e-05
"31","Decapterus macrosoma","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Decapterus",0.000426266992263009
"32","Selar crumenophthalmus","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Selar",0.00163016017954718
"33","Trachurus delagoa","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Trachurus",0.0105571505881622
"34","Elagatis bipinnulata","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Elagatis",0.00168858788960948
"35","Scomberoides lysan","Species","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Scomberoides",0.0558835176162986
"36","Gerres methueni","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Gerreidae","Gerres",6.42534019633605e-05
"37","Gerres oyena","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Gerreidae","Gerres",0.00596814944206235
"38","Gerres longirostris","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Gerreidae","Gerres",0.000544542582314482
"39","Gerres oblongus","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Gerreidae","Gerres",6.81368493457271e-05
"40","Gerres filamentosus","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Gerreidae","Gerres",0.000350433143823197
"41","Plectorhinchus playfairi","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae","Plectorhinchus",0.013000889717568
"42","Pomadasys kaakan","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae","Pomadasys",0.0235828595174988
"43","Pomadasys multimaculatus","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae","Pomadasys",0.00540262594171353
"44","Diagramma pictum","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae","Diagramma",0.00417374366675387
"45","Plectorhinchus gaterinus","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae","Plectorhinchus",0.0152552490641326
"46","Plectorhinchus","Genus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae","Plectorhinchus",0.00385773603253531
"47","Pomadasys maculatus","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae","Pomadasys",0.00274147899809369
"48","Hemiramphus far","Species","Animalia","Chordata","Teleostei","Beloniformes","Hemiramphidae","Hemiramphus",0.0038322927460917
"49","Hemiramphus lutkei","Species","Animalia","Chordata","Teleostei","Beloniformes","Hemiramphidae","Hemiramphus",0.000505637647585183
"50","Istiophoridae","Family","Animalia","Chordata","Teleostei","Carangiformes","Istiophoridae",NA,0.0016886119001907
"51","Aurigequula fasciata","Species","Animalia","Chordata","Teleostei","Acanthuriformes","Leiognathidae","Aurigequula",0.00142071055051976
"52","Lethrinus lentjan","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lethrinidae","Lethrinus",0.0132910864504113
"53","Lethrinus variegatus","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lethrinidae","Lethrinus",0.00179417100646369
"54","Lethrinus conchyliatus","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lethrinidae","Lethrinus",0.00035579252550536
"55","Lethrinus crocineus","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lethrinidae","Lethrinus",0.00405388590449662
"56","Lethrinus mahsena","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lethrinidae","Lethrinus",0.0302970531732127
"57","Lethrinus obsoletus","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lethrinidae","Lethrinus",0.00131121751003077
"58","Lethrinus rubrioperculatus","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lethrinidae","Lethrinus",0.000386114389437373
"59","Gymnocranius griseus","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lethrinidae","Gymnocranius",0.000134158852852868
"60","Lethrinus harak","Species","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lethrinidae","Lethrinus",0.0071196360846706
