"","valid_name","rank","kingdom","phylum","class","order","family","genus","ratio"
"1","Aetobatus narinari","Species","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Aetobatus",0.00336301709024612
"2","Carcharhinus albimarginatus","Species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus",0.000450186192627737
"3","Carcharhinus amblyrhynchos","Species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus",0.00103904656754242
"4","Carcharhinus brevipinna","Species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus",0.0201365339622326
"5","Carcharhinus leucas","Species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus",0.00403905370596494
"6","Carcharhinus longimanus","Species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus",0.00434888279072509
"7","Carcharhinus melanopterus","Species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus",0.00119707454547124
"8","Elasmobranchii","Class","Animalia","Chordata","Elasmobranchii",NA,NA,NA,0.112504811654032
"9","Galeocerdo cuvier","Species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Galeocerdo",0.000255806731345235
"10","Himantura uarnak","Species","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura",0.00384046690043794
"11","Isurus paucus","Species","Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae","Isurus",0.000325143823330178
"12","Negaprion acutidens","Species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Negaprion",0.000504881713245618
"13","Rhynchobatus djiddensis","Species","Animalia","Chordata","Elasmobranchii","Rhinopristiformes","Rhinobatidae","Rhynchobatus",0.000228206531021141
"14","Sphyrna lewini","Species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna",0.0241942683033682
